id,name,host_name,host_since,neighbourhood,district,latitude,longitude,room_type,price,last_review,license,is_registered,is_registered_bnb
18674,Huge flat for 8 people close to Sagrada Familia,Mireia  Maria,2010-01-19,la Sagrada Família,Eixample,41.40556,2.17262,Entire home/apt,$179.00,2024,HUTB-002062,True,True
23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",Etain (Marnie),2010-03-09,el Besòs i el Maresme,Sant Martí,41.41243172529066,2.219750335269476,Entire home/apt,$251.00,2025,HUTB005057,False,True
32711,Sagrada Familia area - Còrsega 1,Nick,2010-05-31,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40566,2.17015,Entire home/apt,$104.00,2025,HUTB-001722,True,True
34241,Stylish Top Floor Apartment - Ramblas Plaza Real,Andres,2010-01-24,el Barri Gòtic,Ciutat Vella,41.38062,2.17517,Entire home/apt,$157.00,2024,Exempt,True,True
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,Andres,2010-01-24,el Barri Gòtic,Ciutat Vella,41.37978,2.17623,Entire home/apt,$401.00,2025,HUTB-150671,False,True
40983,Soho Colonial Eclectic Apartment,Joaquin,2010-07-22,la Dreta de l'Eixample,Eixample,41.39631,2.16832,Entire home/apt,$149.00,2025,HUTB-001282,True,True
41952,Modern Apartment - Sagrada Familia,Teresa,2010-07-28,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40568,2.16943,Entire home/apt,$199.00,2024,HUTB-003549,True,True
320506,The Loft Barcelona,The Loft,2012-01-23,el Poble Sec,Sants-Montjuïc,41.37195,2.16936,Entire home/apt,$122.00,2024,hutb-004655,False,True
330723,SUNNY ROOM WITH BALCONY,Morpheus Stays X JuanMi,2012-02-02,el Raval,Ciutat Vella,41.37571,2.17118,Private room,$21.00,2025,,False,False
330766,Urquinaona tranquilo y céntrico,Virginia,2012-02-02,la Dreta de l'Eixample,Eixample,41.39076,2.17503,Entire home/apt,$123.00,2025,HUTB-003905,True,True
330957,Central 3 bedroom beautiful APT,Phil And Fiona,2011-07-30,la Dreta de l'Eixample,Eixample,41.39782414629114,2.170576755958843,Entire home/apt,$159.00,2025,HUTB-010749,False,True
337755,SEALONA VILA OLIMPICA BEACH,Marc,2012-02-07,la Vila Olímpica del Poblenou,Sant Martí,41.39253234863281,2.19325590133667,Entire home/apt,$172.00,2025,HUTB-002887,True,True
343861,Apartamento 1 habitación y balcón  en Gracia,Silvia & Luís,2012-02-13,la Dreta de l'Eixample,Eixample,41.39993,2.16536,Entire home/apt,$147.00,2025,HUTB-007447,False,True
