license,name,state,address,cdpostal,Municipi,Comarca
ATB-000003,Gutenberg,Alta,Passatge Gutenberg 7,8001,Barcelona,Barcelonès
ATB-000005,Silver,Alta,Carrer Breton de los Herreros 26,8012,Barcelona,Barcelonès
ATB-000009,SENATOR BARCELONA APARTMENTS,Alta,Via Augusta 167,8021,Barcelona,Barcelonès
ATB-000042,THE STREETS APARTMENTS RAMBLA,Alta,Carrer la Rambla 34,8002,Barcelona,Barcelonès
ATB-000044,Descartes,Alta,Carrer Descartes 4,8006,Barcelona,Barcelonès
ATB-000049,Villa Sagrada,Alta,Passatge Vilaret 13,8013,Barcelona,Barcelonès
ATB-000062,Tibidabo Apartments,Alta,Carrer Jericó 20,8035,Barcelona,Barcelonès
ATB-000083,DV Apartamentos,Alta,Carrer Torns 3,8028,Barcelona,Barcelonès
ATB-000086,Midtown Apartments,Alta,Carrer Casp 35,8010,Barcelona,Barcelonès
ATB-000088,Apartamentos Turisticos,Alta,Carrer Antic de Bofarull 15-11,8026,Barcelona,Barcelonès
ATB-000089,Hostemplo,Alta,"Carrer Sicilia, 276-280 276-280",8013,Barcelona,Barcelonès
ATB-000276,MONTURIOL APARTAMENTS,Alta,Carrer de Monturiol 23,8018,Barcelona,Barcelonès
ATB-010001,Sense especificar,Alta,Avinguda Diagonal 199,8018,Barcelona,Barcelonès
HUTB-000002,Sense especificar,Alta,Carrer Marina 306,8025,Barcelona,Barcelonès
HUTB-000018,Sense especificar,Alta,Carrer Marina 366,8025,Barcelona,Barcelonès
HUTB-000024,Sense especificar,Alta,Carrer Marina 240,8013,Barcelona,Barcelonès
HUTB-000025,Sense especificar,Alta,Carrer Marina 223,8013,Barcelona,Barcelonès
HUTB-000026,Sense especificar,Alta,Carrer MARINA 240,8013,Barcelona,Barcelonès
HUTB-000027,Sense especificar,Alta,Carrer MARINA 245,8013,Barcelona,Barcelonès
HUTB-000028,Sense especificar,Alta,Carrer Marina 44,8005,Barcelona,Barcelonès
HUTB-000029,Sense especificar,Alta,Carrer Marina 104,8018,Barcelona,Barcelonès
HUTB-000031,Sense especificar,Alta,Carrer MARQUES DE BARBERA 8,8001,Barcelona,Barcelonès
HUTB-000035,Sense especificar,Alta,Carrer Marquès de Campo Sagrado 7,8015,Barcelona,Barcelonès
HUTB-000036,MARQUES,Alta,Carrer Marquès de Campo Sagrado 9,8015,Barcelona,Barcelonès
HUTB-000039,Sense especificar,Alta,Carrer Marquesa 9,8003,Barcelona,Barcelonès
HUTB-000043,Sense especificar,Alta,Carrer Martí i Alsina 4,8031,Barcelona,Barcelonès
HUTB-000044,Sense especificar,Alta,Carrer Martí Molins 2,8027,Barcelona,Barcelonès
HUTB-000045,Sense especificar,Alta,Carrer Martinez de la Rosa 11,8012,Barcelona,Barcelonès
HUTB-000046,Sense especificar,Alta,Carrer Martínez de la Rosa 11,8012,Barcelona,Barcelonès
HUTB-000051,Sense especificar,Alta,Carrer Martínez de la Rosa 51,8012,Barcelona,Barcelonès
HUTB-000052,Sense especificar,Alta,Carrer Martinez de la Rosa 53,8012,Barcelona,Barcelonès
HUTB-000061,Sense especificar,Alta,Carrer MARTINEZ DE LA ROSA 24,8012,Barcelona,Barcelonès
HUTB-000062,Sense especificar,Alta,Passatge Mas de Roda 26,8005,Barcelona,Barcelonès
HUTB-000063,Sense especificar,Alta,Carrer Mata 28,8004,Barcelona,Barcelonès
HUTB-000064,Port Montjuïc,Alta,Carrer Mata 3-5,8004,Barcelona,Barcelonès
HUTB-000065,Happy People Ramblas Harbour Apartments,Alta,Carrer Mata 24,8004,Barcelona,Barcelonès
HUTB-000070,Ramblas-Harbour,Alta,Carrer Mata 24,8004,Barcelona,Barcelonès
HUTB-000071,Sense especificar,Alta,Carrer Mercaders 5,8003,Barcelona,Barcelonès
HUTB-000075,OLA LIVING MERCÈ,Alta,Carrer MERCÈ 6,8002,Barcelona,Barcelonès
HUTB-000078,Sense especificar,Alta,Carrer MERCE 11,8002,Barcelona,Barcelonès
HUTB-000079,Sense especificar,Alta,Carrer MERCE 21,8002,Barcelona,Barcelonès
HUTB-000080,Sense especificar,Alta,Avinguda Meridiana 2,8018,Barcelona,Barcelonès
HUTB-000081,Sense especificar,Alta,Avinguda MERIDIANA 109,8026,Barcelona,Barcelonès
HUTB-000084,Sense especificar,Alta,Avinguda Meridiana 113,8026,Barcelona,Barcelonès
HUTB-000087,Sense especificar,Alta,Carrer Milà i Fontanals 34,8012,Barcelona,Barcelonès
HUTB-000088,BCN3002 Milans 7 (2-1),Alta,Carrer Milans 7,8002,Barcelona,Barcelonès
HUTB-000089,BCN3003 Milans 7 (2-2),Alta,Carrer de Milans 7,8002,Barcelona,Barcelonès
HUTB-000090,Sense especificar,Alta,Carrer Mineria 7,8038,Barcelona,Barcelonès
HUTB-000091,MS84-33,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000092,MS84-32,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000093,MS84-31,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000094,MS84-42,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000095,MS84-52,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000096,MS84-11,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000097,MS84-12,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
HUTB-000098,MS84-13,Alta,Carrer de l Equador 31,8029,Barcelona,Barcelonès
