id,name,host_name,host_since,neighbourhood,district,latitude,longitude,room_type,price,last_review,license
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,Arturo,2010-11-29,Justicia,Centro,40.41884,-3.69655,Private room,$77.00,2025,
72150,Sunny attic duplex flat with terrace next to Sol,Vin,2011-01-27,Embajadores,Centro,40.4115,-3.70449,Entire home/apt,$173.00,2025,VT-6993
86042,Cozy attic with intimate rooftop terrace+ elevator,Vin,2011-01-27,Embajadores,Centro,40.40939,-3.69812,Entire home/apt,$189.00,2025,VT-3974
598771,Atocha Attic - Unbeatable Location,Miguel,2012-06-19,Palos de Moguer,Arganzuela,40.40661,-3.6952,Entire home/apt,$94.00,2025,
605339,NiceStay_HighValue_Orange RoomWIFI,Ivaylo,2012-06-29,Lucero,Latina,40.40743,-3.74293,Private room,$35.00,2025,
608742,Central and quiet.,Cristina,2012-07-22,Palacio,Centro,40.41744,-3.70873,Entire home/apt,$89.00,2025,
618576,Puerta del Sol - Palacio Real.,Cristina,2012-07-22,Palacio,Centro,40.41771,-3.70925,Entire home/apt,$90.00,2025,
114854,NICE CENTRAL TOURISM-BUSINESS APTO,Maria,2011-01-25,Rios Rosas,Chamberí,40.4382,-3.69389,Entire home/apt,$87.00,2024,
167183,private house B & B. Arturo Soria (Metro),Consuelo,2011-07-09,Piovera,Hortaleza,40.45575,-3.64912,Private room,$86.00,2024,
196197,Bight Latina,Meyling,2011-07-22,Palacio,Centro,40.41235,-3.70967,Entire home/apt,$82.00,2025,
198296,Very quiet central top floor with 2 terraces,Santi,2011-08-14,Universidad,Centro,40.42589,-3.70565,Entire home/apt,$170.00,2025,
199016,Habitación en ático muy céntrico con dos terrazas,Santi,2011-08-14,Universidad,Centro,40.4257,-3.70383,Private room,$48.00,2025,
628394,"Spectacular Triplex in Canaleja, Sol",Pullover,2012-08-01,Sol,Centro,40.41730117797851,-3.702075958251953,Entire home/apt,$351.00,2025,
684564,"ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL",Xavier,2012-03-17,Palacio,Centro,40.41747,-3.70979,Entire home/apt,$229.00,2024,
199201,"Converted theatre, historic centre",Henrietta,2011-06-27,Embajadores,Centro,40.41319,-3.7024,Private room,$120.00,2025,
204570,Lovely 110m2 home - Best location!,Alex,2011-08-22,Cortes,Centro,40.4152,-3.69668,Entire home/apt,$177.00,2024,
205199,Tafari Gran Via,Nuria,2011-08-23,Universidad,Centro,40.42116,-3.70384,Entire home/apt,$86.00,2025,VT-121
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,Jon,2011-08-31,Canillas,Hortaleza,40.45959,-3.64699,Private room,$68.00,2025,
221017,Apartament Center Atocha ll,Davinia,2011-09-12,Embajadores,Centro,40.4131,-3.70086,Entire home/apt,,2025,
229664,Beautiful cozy loft madrid center,Sergio,2011-09-08,Embajadores,Centro,40.4078,-3.70085,Entire home/apt,$57.00,2025,
696928,alquilo habitación,Claudia,2012-09-14,Lista,Salamanca,40.43003,-3.67429,Private room,$75.00,2024,
704155,Apartment  in the center of Madrid,José,2012-09-18,Embajadores,Centro,40.41389,-3.70461,Entire home/apt,$87.00,2025,
709208,Apartment in the heart of Madrid,Luz,2012-09-23,Sol,Centro,40.41697,-3.70732,Entire home/apt,$88.00,2025,
716292,Just in the centre: Malasaña,Paloma,2012-09-27,Universidad,Centro,40.42616,-3.70263,Entire home/apt,$118.00,2025,
717313,Unique stylish near Royal Palace,Arman,2012-09-28,Palacio,Centro,40.41222,-3.71365,Entire home/apt,$114.00,2025,
721377,40M2 LOFT GREAT FOR STUDENT 100M WF,Lucrecia,2012-10-01,Valverde,Fuencarral - El Pardo,40.50069,-3.68994,Entire home/apt,$100.00,2024,
723088,LOVELY FLAT IN PLAZA DE CHUECA,Norah,2012-06-05,Justicia,Centro,40.42536,-3.69887,Entire home/apt,$160.00,2024,
727588,"CENTRIC NEAR TO M30, 2 BEDROOMS",Irma,2011-04-10,San Diego,Puente de Vallecas,40.39368,-3.66975,Entire home/apt,,2025,
233011,Apartament Center Atocha l,Davinia,2011-09-12,Embajadores,Centro,40.41175,-3.70021,Entire home/apt,$71.00,2025,
256004,Hab Casa Balconies Arco Toledo - Cuchilleros St.,Anna,2012-02-10,Sol,Centro,40.41428,-3.70767,Private room,$113.00,2025,VT-519
258713,"Apartamento céntrico, tranquilo y luminoso.",Azucena,2011-11-01,Chopera,Arganzuela,40.39627,-3.69926,Entire home/apt,$110.00,2025,
260951,"Spectacular Loft ""A"" Ifema  Madrid",Angela,2011-10-30,Valdefuentes,Hortaleza,40.47189,-3.62966,Entire home/apt,,2025,
261878,Great Studio! Best Reviews!,Alvaro,2011-11-05,Universidad,Centro,40.42377853393555,-3.702780961990357,Entire home/apt,$138.00,2025,
263748,"LOFT ""C"" cerca de  IFEMA Madrid",Angela,2011-10-30,Valdefuentes,Hortaleza,40.47142,-3.62881,Entire home/apt,$91.00,2025,
730502,APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE,Rocio,2012-10-08,Palacio,Centro,40.41826,-3.71244,Entire home/apt,$131.00,2024,VT-51
733365,Espacio acogedor para tu relax y descanso.,Charo,2012-10-10,Trafalgar,Chamberí,40.43653,-3.70421,Private room,$41.00,2024,
734053,Independent room for students,Elisa,2012-10-10,Ibiza,Retiro,40.41731,-3.6731,Private room,$45.00,2024,
745664,"WIFI B&B , BATH, TWO BEDS, CENTER, AWESOME.",Fernando,2012-09-17,Acacias,Arganzuela,40.40449,-3.70463,Private room,$40.00,2025,
747873,Stylish apartment in the city center,Matias,2012-01-19,Universidad,Centro,40.42329,-3.70833,Entire home/apt,$106.00,2025,VT-6783
748627,"In the heart of Madrid, cosy and adorable flat",Angeles,2012-10-08,Embajadores,Centro,40.40678,-3.69915,Entire home/apt,,2025,
748854,Host family in the center of Madrid,Margarita,2012-03-09,Acacias,Arganzuela,40.40333,-3.7025,Private room,$34.00,2025,
749957,Estudio en el Paseo del Pintor Rosa,Luisa,2010-05-14,Argüelles,Moncloa - Aravaca,40.42796,-3.72054,Entire home/apt,$64.00,2025,
272279,The lovely nest,Enrique,2011-11-20,Embajadores,Centro,40.4093,-3.70884,Entire home/apt,,2025,
280733,★City Center - Gran Via Apartment,Gabriel,2011-05-17,Universidad,Centro,40.42457,-3.70802,Entire home/apt,$129.00,2024,
289555,B11-Priv bathroom.,Myrko,2011-08-01,Sol,Centro,40.41849,-3.70743,Private room,$160.00,2024,
310333,Temporary Apartment in the center,Paloma,2012-01-11,Embajadores,Centro,40.40908377002321,-3.6951428069820658,Entire home/apt,$63.00,2025,0
336672,Great apartment ∞4 rooms∞ close to City Center,Jesús,2012-02-07,Delicias,Arganzuela,40.39516,-3.69309,Entire home/apt,,2025,
751527,Gran apartamento Plaza de España (ref. VT-2053),Juan Antonio,2012-10-23,Universidad,Centro,40.42482,-3.71084,Entire home/apt,$243.00,2024,VT-2053
751530,Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.,Consuelo,2012-10-17,Sol,Centro,40.41429,-3.70649,Entire home/apt,$62.00,2025,VT-12957
754678,APARTMENT IN THE CENTRE OF MADRID.,Domingo,2012-10-24,Cortes,Centro,40.41382,-3.69514,Entire home/apt,$144.00,2025,
755587,Centro/Apartm/Plaza Mayor/Wifi/cozy,Consuelo,2012-10-17,Palacio,Centro,40.41497,-3.70853,Entire home/apt,$62.00,2025,VT-12958
758670,Cozy Bedroom AirPort / IFEMA/ Civitas Stadium,Danna Elizabeth,2012-06-03,Arcos,San Blas - Canillejas,40.4267,-3.61631,Private room,,2025,
760482,Dúplex-Penthouse Cuzco-Castellana Smart,Smart Apartments Madrid,2012-10-29,Castillejos,Tetuán,40.45989,-3.69472,Entire home/apt,,2024,4588
336834,2 bedroom apartament in Chueca-Fuen,Helena,2012-02-07,Justicia,Centro,40.42242,-3.69562,Entire home/apt,$84.00,2025,
339144,COZY APARTMENT MADRID MALASAÑA,Pau&Patricia,2012-02-08,Universidad,Centro,40.42838,-3.70345,Entire home/apt,$90.00,2025,
339171,PRADO MUSEUM AIR & OnSiteParking (*),Cesar,2012-02-08,Cortes,Centro,40.41285,-3.69553,Entire home/apt,$120.00,2025,VT-6570
342095,Lovely apartment CENTRAL MADRID !,Elena,2012-02-05,Embajadores,Centro,40.41015,-3.69797,Entire home/apt,$95.00,2024,
361053,"Cozy, luminous  excellenty placed",Ana,2012-02-10,Niño Jesús,Retiro,40.40988,-3.67503,Entire home/apt,$97.00,2025,VUT 8713
363476,PUERTA DEL SOL-QUIET DOWNTOWN,Bibiana,2012-03-01,Sol,Centro,40.41676,-3.70682,Private room,$52.00,2025,
371532,"Fantastic Location. Great apartment, Opera",Olga,2012-03-06,Palacio,Centro,40.41944,-3.70945,Entire home/apt,$90.00,2025,
761159,DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.,Alberto,2012-10-30,Sol,Centro,40.41399,-3.70776,Entire home/apt,$70.00,2025,VT-12959
