license,name,address,cdpostal,localidad
AM-69,MURALTO,CALLE del Buen Suceso 3,28008.0,Madrid
AM-79,ANDROMEDA (BLUESENSE ALMAGRO),CALLE de Almagro 10,28010.0,Madrid
AM-96,SUITE FOXA 32,CALLE de Agustín de Foxá 32,28036.0,Madrid
AM-104,SUITE FOXA 25,CALLE de Agustín de Foxá 25,28036.0,Madrid
AM-106,OLANO,CALLE de Ros de Olano 2,28002.0,Madrid
AM-113,PLAZA DE ESPAÑA,PLAZA de España 7,28008.0,Madrid
AM-114,PLAZA BASILICA,CALLE del Aviador Zorita 27,28020.0,Madrid
AM-251,BE SMART MADRID ALBUFERA,CTRA de Villaverde a Vallecas 295,28031.0,Madrid
AM-252,BLANCA DE CASTILLA 5,CALLE de Blanca de Castilla 5,28023.0,Madrid
AM-253,RODRIGUEZ IBEAS,CALLE de Aguilón 17,28045.0,Madrid
AM-254,ECO ALCALA SUITES,CALLE de Santa Leonor 24,28037.0,Madrid
AM-255,AMADOR DE LOS RIOS,CALLE de Amador de los Ríos 3,28010.0,Madrid
AM-256,JARDINES,CALLE de Agosto 21-23,28022.0,Madrid
AM-257,FIN DE SEMANA,CALLE de Noviembre 58,28022.0,Madrid
AM-261,COMPOSTELA SUITES,CALLE de Zambrana 4,28022.0,Madrid
AM-262,SUITES FLORIDA,CALLE de Campezo 2,28022.0,Madrid
AM-264,H2 TIRSO DE MOLINA,CALLE de Abades 3,28012.0,Madrid
AM-268,MADRID,CALLE de Atocha 19,28012.0,Madrid
AM-270,ERIC VOKEL MADRID SUITES,CALLE de San Bernardo 61,28015.0,Madrid
AM-271,MADRID 4 RENTALS,CALLE de Santa María 36,28014.0,Madrid
AM-272,GAVIRENTAL,CALLE del Conde de Romanones 14,28012.0,Madrid
AM-276,PUERTA DE TOLEDO,GTA de Puerta de Toledo 3,28005.0,Madrid
AM-282,RANIANTE,CALLE de Aranjuez 19,28039.0,Madrid
AM-286,ABALU MADRID SUITES,CALLE del Pez 32,28004.0,Madrid
AM-287,MADRID AIRPORT SUITES,CALLE de Lola Flores 16,28022.0,Madrid
AM-289,EDIFICIO FERNANDO VI,CALLE de Fernando VI 6,28004.0,Madrid
AM-290,BLUME CRUZ,CALLE de la Cruz 35,28012.0,Madrid
AM-291,APARTOSUITES JARDINES DE SABATINI,CUSTA de San Vicente 16,28008.0,Madrid
AM-293,ERIC VOKEL ATOCHA SUITES,CALLE de Vizcaya 9,28045.0,Madrid
AM-297,APARTOSUITE JARDINES DE SABATINI,CUSTA de San Vicente 16,28008.0,Madrid
AM-299,ARENAL SUITES,CALLE del Arenal 8,28013.0,Madrid
AM-303,EL CAPRICHO DE MADRID,CALLE de Fuendetodos 25,28047.0,Madrid
AM-304,MADRID CENTRAL SUITE,CALLE de Apodaca 5,28004.0,Madrid
AM-306,ALCALA,CALLE de Albarracín 4,28037.0,Madrid
AM-313,APARTAMENTOS FELIPE VI,CLLON de Preciados 4,28013.0,Madrid
AM-314,SUITES YOU ZINC,CALLE del Arenal 10,28013.0,Madrid
AM-317,ARAGON SUITES MADRID AEROPUERTO,CALLE de Lola Flores 3,28022.0,Madrid
AM-328,B Y B FUENCARRAL 46,CALLE de Fuencarral 46,28004.0,Madrid
AM-329,CRITERIAHOME,CALLE de la Laguna del Marquesado 11,28021.0,Madrid
AM-330,L&H LA LATINA,CALLE de Calatrava 17,28005.0,Madrid
AM-333,60 BALCONIE URBAN STAY - RECOLETOS,CALLE del Almirante 17,28004.0,Madrid
AM-334,60 BALCONIES URBAN STAY - ATOCHA,PLAZA del Emperador Carlos V 11,28012.0,Madrid
AM-336,HOME RENTALS MADRID,CALLE de Ministriles 21,28012.0,Madrid
AM-1328,ASPASIOS,CALLE del Marqués de Toca 10,28012.0,Madrid
AM-116,TOGUMAR,CALLE de Canillas 59,28002.0,Madrid
AM-117,TOGUMAR II,CALLE de Luis Cabrera 74,28002.0,Madrid
AM-120,ERASO,CALLE de Ardemáns 13,28028.0,Madrid
AM-121,TH ARAVACA,CALLE de Alsasua 5,28023.0,Madrid
AM-122,G3 GALEON,CALLE de Francisco Medrano 4,28020.0,Madrid
AM-124,ROSALES,CALLE del Marqués de Urquijo 35,28008.0,Madrid
AM-126,RECOLETOS,CALLE de Villanueva 2,28001.0,Madrid
AM-129,SUITE PRADO,CALLE de Manuel Fernández y González 10,28014.0,Madrid
AM-130,GRAN VIA,CALLE Gran Vía 65,28013.0,Madrid
AM-132,NH LA FLORIDA,CALLE de Proción 12,28023.0,Madrid
AM-135,EL MADROÑO,CALLE del General Díaz Porlier 101,28015.0,Madrid
AM-136,PRINCIPE 11,CALLE del Príncipe 11,28012.0,Madrid
AM-183,JARDIN DE RECOLETOS,CALLE de Gil de Santivañes 6,28001.0,Madrid
AM-218,EL MIRADOR REAL,CALLE de Viñas de El Pardo 2 - 4,28023.0,Madrid
AM-247,SUITES VIENA,CALLE de Juan Álvarez Mendizábal 17,28008.0,Madrid
AM-1360,ASPASIOS CALLE MAYOR,CALLE Mayor 30,28013.0,Madrid
AM-1362,APARTAMENTOS URGEL,CALLE de Peñafiel 40,28019.0,Madrid
AM-1363,NEW POINT MADRID OPERA,CALLE de las Hileras 8,28013.0,Madrid
AM-1366,LIMEHOME,CALLE de la Madera 25,28004.0,Madrid
VT-26,"JARDINES 11, 4º C",CALLE de los Jardines 11,28013.0,Madrid
VT-63,"BARBIERI, Nº 26, 1º IZDA.",CALLE de Barbieri 26,28004.0,Madrid
VT-65,SIETE DE JULIO,CALLE del Siete de Julio 3,28012.0,Madrid
VT-32,LOS TRUJILLOS,CALLE de Trujillos 1,28013.0,Madrid
VT-47,"ARENAL 26, 1º B",CALLE del Arenal 26,28013.0,Madrid
VT-48,SAN MARCOS,CALLE de San Marcos 3,28004.0,Madrid
VT-50,SAN JERONIMO,CRA de San Jerónimo 5,28014.0,Madrid
VT-53,NOSOLOHOTEL.COM,CALLE de San Marcos 3,28004.0,Madrid
AM-1330,MADRID SMART RENTALS DELICIAS,CALLE del Divino Vallés 23,28045.0,Madrid
AM-1331,"APARTAMENTOS GONZALO DE CÓRDOBA, 15",CALLE de Gonzalo de Córdoba 15,28010.0,Madrid
AM-1332,SLOW SUITES BELLAS ARTES,CALLE de Los Madrazo 20,28014.0,Madrid
AM-1333,SLOW SUITES GRAN VIA,CALLE de Víctor Hugo 4,28004.0,Madrid
AM-1338,AMOR DE DIOS,CALLE del Amor de Dios 17,28014.0,Madrid
AM-1339,HR VOLANTE,CALLE de la Violeta 10,28023.0,Madrid
AM-1341,PLAZA MAYOR SUITES Y APARTMENTS,CALLE de El Salvador 4,28012.0,Madrid
AM-1342,SLOW SUITES LUCHANA,CALLE de Luchana 13,28010.0,Madrid
AM-1346,MH APARTMENTS CENTRAL MADRID,PLAZA de Tirso de Molina 15,28012.0,Madrid
AM-1348,PLAZA ESPAÑA SKY LINE,CALLE de Cadarso 18,28008.0,Madrid
AM-1350,GRAN CENTRAL SUITES,CALLE de las Minas 12,28004.0,Madrid
AM-1351,HOROKO,CALLE del Miosotis 2,28039.0,Madrid
AM-1353,APARTAMENTOS LG 45,CALLE de Leganitos 45,28013.0,Madrid
VT-184,VUT MOREIRA 8,CALLE de la Morería 8,28005.0,Madrid
VT-185,"MORATIN, Nº 21, 3º B",CALLE de Moratín 21,28014.0,Madrid
VT-200,"VICTOR HUGO 4, BAJO DCHA. D",CALLE de Víctor Hugo 4,28004.0,Madrid
VT-307,"NUÑEZ DE ARCE 14, 3º D",CALLE de Núñez de Arce 14,28012.0,Madrid
VT-308,"NUÑEZ DE ARCE 14, 1º B",CALLE de Núñez de Arce 14,28012.0,Madrid
VT-310,NUÑEZ ARCE 14 2º A,CALLE de Núñez de Arce 14,28012.0,Madrid
VT-311,NUÑEZ ARCE 14 3º C,CALLE de Núñez de Arce 14,28012.0,Madrid
VT-312,NUÑEZ ARCE 14 3º A,CALLE de Núñez de Arce 14,28012.0,Madrid
VT-333,"CONCEPCION JERONIMA 28, 5º 4",CALLE de Concepción Jerónima 28,28012.0,Madrid
VT-207,"ARENAL 26, 2º DCHA D",CALLE del Arenal 26,28013.0,Madrid
