id,name,host_name,host_since,neighbourhood,district,latitude,longitude,room_type,price,last_review,license
69998,Hideaway Soulful Loft,Lor,2011-01-19,Palma de Mallorca,,39.56987,2.65464,Entire home/apt,$50.00,2024,
106833,Villa with a big pool in Mallorca,Xisco,2011-05-02,Sant Llorenç des Cardassar,,39.61458,3.301,Entire home/apt,$200.00,2024,ET/1961
164185,Corazón de Palma-Habitación con baño privado.,Farhang,2015-05-16,Palma de Mallorca,,39.57271,2.64448,Private room,$47.00,2025,City registration pending.
166820,Guest House with Great sea views - Principal Room,Toni,2011-07-08,Banyalbufar,,39.67894,2.50052,Private room,$70.00,2025,
168668,Beautiful farmhouse with pool,Miquel,2011-07-11,Manacor,,39.66654,3.21845,Entire home/apt,$150.00,2024,VT/1929
178456,"Apartment 50m from beach in Alcudia Port, Mallorca",Maria,2011-07-11,Alcúdia,,39.82338,3.11353,Entire home/apt,$100.00,2024,
193426,Apartment Gavina 1B - 3 rooms/wifi/beach near,Eva Balaguer,2016-09-15,Pollença,,39.89838,3.07582,Entire home/apt,$200.00,2024,ETVPL/14090
210156,Room Berna ETV/7989,Toni,2011-08-29,Alcúdia,,39.83462,3.11031,Private room,$59.00,2024,ETV/7989
238799,Penthouse in Palma close to Portitxol,Natalia,2011-10-05,Palma de Mallorca,,39.56466,2.66164,Entire home/apt,$196.00,2024,
257206,Your Hike and resting room in Mallorca-Family Room,Toni,2011-07-08,Banyalbufar,,39.68696,2.51196,Private room,$70.00,2025,
268350,Finca rústica  Sa Rota de Can Mirai - Caimari,Guillermo,2011-11-12,Selva,,39.7744,2.89687,Entire home/apt,$95.00,2025,ET/4664
323164,Ubicación conveniente en la ciudad de Palma,Farhang,2015-05-16,Palma de Mallorca,,39.57377,2.645,Private room,$37.00,2025,City registration pending.
324256,Villa Rustica Moderna en Es Trenc,Gabo,2012-01-27,Campos,,39.40072,3.02327,Entire home/apt,$405.00,2024,VT/1643
328541,Sunny container house with pool | ETV/8687,Balbina,2011-06-15,Palma de Mallorca,,39.58098983764648,2.664944887161255,Entire home/apt,$143.00,2025,ETV/8687
335672,"Casa rústica, excelentes vistas al mar en Alcúdia",Marilén,2011-09-24,Alcúdia,,39.84058,3.15525,Entire home/apt,$200.00,2025,ETV 437 SA ROTE
915609,Beautiful finca with pool for nature lovers.,Ana,2013-01-31,Artà,,39.68188,3.37607,Entire home/apt,$90.00,2025,Alquiler mensual
918200,Duplex in Port de Soller with seaview terraces,Annette,2012-04-16,Sóller,,39.80111,2.69856,Entire home/apt,$210.00,2024,L12E10047
922689,Oasis de Tranquilidad con Piscina,Joan,2013-02-04,Palma de Mallorca,,39.60459,2.79133,Entire home/apt,$140.00,2024,ETV/2264
924385,Cozy room with bathroom Silverhouse,Xesca,2013-02-05,Búger,,39.76006,2.98261,Private room,$150.00,2024,
928422,Precious apartment in Cala d'Or,Catalina,2013-02-07,Santanyí,,39.36272795265436,3.221095520967654,Entire home/apt,$150.00,2024,ETVPL/14566
928607,Apartment with amazing sea views,Happy Mallorca,2012-11-03,Santa Margalida,,39.7352,3.22779,Entire home/apt,$108.00,2024,L12E-7846
337083,APARTMENT WITH BEATIFUL WIEWS,Javi,2012-02-07,Palma de Mallorca,,39.53628,2.71845,Entire home/apt,$123.00,2024,
