license,address,name,Localitat,Municipi,Estat,Inici activitat
ETVPL/12473,"Carrer ACÀCIES, 2 porta 18. 07400 ALCÚDIA, Mallorca",BEACH INN,Port DAlcúdia,ALCÚDIA,Alta,13/08/2018
ETVPL/12478,"Carrer NOGUER, 4 porta 10. 07400 ALCÚDIA, Mallorca",VILLA ZELDA,Port DAlcúdia,ALCÚDIA,Alta,13/08/2018
ETVPL/12481,"Carrer METGE REYNÉS, 3 pis Baixos. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",YourHouse Port AIXA,Port DAlcúdia,ALCÚDIA,Alta,14/08/2018
ETVPL/12482,"Carrer METGE REYNÉS, 3 pis 1 porta A. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",YourHouse Port NORAI,Port DAlcúdia,ALCÚDIA,Alta,14/08/2018
ETVPL/12483,"Passeig MARÍTIM, 14 pis 2. 07400 ALCÚDIA, Mallorca",MARÍTIM,Port DAlcúdia,ALCÚDIA,Alta,08/08/2018
ETVPL/12484,"Carrer METGE REYNÉS, 3 pis 1 porta B. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",YourHouse Port ÀNCORA,Port DAlcúdia,ALCÚDIA,Alta,14/08/2018
ETVPL/12494,"Carrer FRANÇA, 8 pis 2 porta Dreta. 07108 Port (El), SÓLLER, Mallorca",CA NA CARLA,Port (El),SÓLLER,Alta,17/08/2018
ETVPL/12495,"Passeig ANGLADA CAMARASSA, 33-35 pis 4 porta T. 07470 POLLENÇA, Mallorca",ANGLADA 354,Port De Pollença,POLLENÇA,Alta,16/08/2018
ETVPL/12496,"Carrer MARE DE DÉU DEL CARME, 1 lletra A. 07639 Estanyol De Migjorn (L), LLUCMAJOR, Mallorca",CA DÚPLEX MAR SESTANYOL DE MIGJORN A,Estanyol De Migjorn (L),LLUCMAJOR,Alta,16/08/2018
ETVPL/12497,"Carrer MARE DE DÉU DEL CARME, 1 lletra B. 07639 Estanyol De Migjorn (L), LLUCMAJOR, Mallorca",CA DÚPLEX MAR SESTANYOL DE MIGJORN B,Estanyol De Migjorn (L),LLUCMAJOR,Alta,16/08/2018
ETVPL/12498,"Carrer DRAGONERA, 4 pis 2 porta 2. 07659 Cala Figuera, SANTANYÍ, Mallorca",VIVENDA SOL I PINS 2,Cala Figuera,SANTANYÍ,Alta,20/08/2018
