date,price,city
Marzo 2025,17.3,palma
Febrero 2025,17.1,palma
Enero 2025,17.1,palma
Diciembre 2024,17.2,palma
Noviembre 2024,17.0,palma
Octubre 2024,17.1,palma
Septiembre 2024,17.3,palma
Agosto 2024,17.3,palma
Julio 2024,17.2,palma
Junio 2024,16.7,palma
Mayo 2024,16.2,palma
Abril 2024,15.8,palma
Marzo 2024,15.6,palma
Febrero 2024,15.5,palma
Enero 2024,15.7,palma
Diciembre 2023,15.4,palma
Noviembre 2023,15.1,palma
Octubre 2023,14.9,palma
Septiembre 2023,14.6,palma
Agosto 2023,14.7,palma
Julio 2023,14.5,palma
Junio 2023,14.4,palma
Mayo 2023,14.3,palma
Abril 2023,14.0,palma
Marzo 2023,13.7,palma
Febrero 2023,13.4,palma
Enero 2023,13.1,palma
Diciembre 2022,12.8,palma
Noviembre 2022,12.7,palma
Octubre 2022,12.5,palma
Septiembre 2022,12.5,palma
Agosto 2022,12.3,palma
Julio 2022,12.0,palma
Junio 2022,11.9,palma
Mayo 2022,11.7,palma
Abril 2022,11.5,palma
Marzo 2022,11.5,palma
Febrero 2022,11.4,palma
Enero 2022,11.4,palma
Diciembre 2021,11.4,palma
Noviembre 2021,11.4,palma
Octubre 2021,11.3,palma
Septiembre 2021,11.1,palma
Agosto 2021,10.9,palma
Julio 2021,10.9,palma
Junio 2021,10.9,palma
Mayo 2021,10.9,palma
Abril 2021,10.9,palma
Marzo 2021,11.0,palma
Febrero 2021,11.0,palma
Enero 2021,11.0,palma
Diciembre 2020,11.2,palma
Noviembre 2020,11.3,palma
Octubre 2020,11.4,palma
Septiembre 2020,11.5,palma
Agosto 2020,11.6,palma
Julio 2020,11.6,palma
Junio 2020,11.9,palma
Mayo 2020,12.2,palma
Abril 2020,12.1,palma
Marzo 2020,12.0,palma
Febrero 2020,11.8,palma
Enero 2020,11.8,palma
Diciembre 2019,11.8,palma
Noviembre 2019,11.8,palma
Octubre 2019,11.9,palma
Septiembre 2019,11.9,palma
Agosto 2019,11.9,palma
Julio 2019,11.8,palma
Junio 2019,11.8,palma
Mayo 2019,11.6,palma
Abril 2019,11.5,palma
Marzo 2019,11.5,palma
Febrero 2019,11.6,palma
Enero 2019,11.6,palma
Diciembre 2018,11.6,palma
Noviembre 2018,11.6,palma
Octubre 2018,11.6,palma
Septiembre 2018,11.6,palma
Agosto 2018,11.6,palma
Julio 2018,11.5,palma
Junio 2018,11.5,palma
Mayo 2018,11.6,palma
Abril 2018,11.5,palma
Marzo 2018,11.4,palma
Febrero 2018,11.4,palma
Enero 2018,11.3,palma
Diciembre 2017,11.3,palma
Noviembre 2017,11.1,palma
Octubre 2017,11.1,palma
Septiembre 2017,10.9,palma
Agosto 2017,10.9,palma
Julio 2017,11.0,palma
Junio 2017,10.8,palma
Mayo 2017,10.7,palma
Abril 2017,10.5,palma
Marzo 2017,10.2,palma
Febrero 2017,9.9,palma
Enero 2017,9.9,palma
Diciembre 2016,9.9,palma
Noviembre 2016,9.6,palma
Octubre 2016,9.6,palma
Septiembre 2016,9.5,palma
Agosto 2016,9.4,palma
Julio 2016,9.5,palma
Junio 2016,9.4,palma
Mayo 2016,9.1,palma
Abril 2016,9.1,palma
Marzo 2016,8.9,palma
Febrero 2016,8.6,palma
Enero 2016,8.2,palma
Diciembre 2015,8.1,palma
Noviembre 2015,8.0,palma
Octubre 2015,7.9,palma
Septiembre 2015,8.1,palma
Agosto 2015,8.1,palma
Julio 2015,8.1,palma
Junio 2015,8.0,palma
Mayo 2015,8.0,palma
Abril 2015,8.0,palma
Marzo 2015,8.0,palma
Febrero 2015,8.0,palma
Enero 2015,8.0,palma
Diciembre 2014,7.8,palma
Noviembre 2014,7.6,palma
Octubre 2014,7.6,palma
Septiembre 2014,7.7,palma
Agosto 2014,7.6,palma
Julio 2014,7.6,palma
Junio 2014,7.5,palma
Mayo 2014,7.6,palma
Abril 2014,7.6,palma
Marzo 2014,7.7,palma
Febrero 2014,7.7,palma
Enero 2014,7.7,palma
Diciembre 2013,7.7,palma
Noviembre 2013,7.7,palma
Octubre 2013,7.6,palma
Septiembre 2013,7.5,palma
Agosto 2013,7.5,palma
Julio 2013,7.5,palma
Junio 2013,7.5,palma
